,Black Total Pop,Population Total,White Population Total,Zip,Percentage Black Residents,Percentage POC Residents,Percentage White Residents,% of Home Purchases by Investors,% of Low-Priced Homes Purchased by Investors,Time Period
54,540,32393,30195,02038,0.016670268267835645,0.06785416602352357,0.9321458339764764,0.05977843999999999,0.07450132000000001,2005-2009
55,133,22550,21656,02043,0.005898004434589801,0.03964523281596455,0.9603547671840355,0.05561000000000001,0.08097794,2005-2009
56,147,10324,9755,02045,0.014238667183262301,0.05511429678419222,0.9448857032158078,0.06765901999999999,0.08498746,2005-2009
57,1058,23389,20630,02048,0.04523493950147505,0.11796143486254218,0.8820385651374578,0.055878859999999995,0.098532,2005-2009
58,148,25543,24330,02050,0.005794151039423717,0.047488548721763335,0.9525114512782367,0.04904526,0.0792384,2005-2009
59,63,12236,11307,02052,0.005148741418764302,0.07592350441320694,0.9240764955867931,0.040106100000000006,0.12546296666666665,2005-2009
60,120,12965,12170,02053,0.009255688391824142,0.0613189355958349,0.9386810644041651,0.061384125,0.09617592500000001,2005-2009
61,847,11407,9985,02056,0.0742526518804243,0.12466029630928377,0.8753397036907162,0.0591189,0.16798939999999998,2005-2009
62,1416,28844,24274,02062,0.049091665511024826,0.15843849674109,0.84156150325891,0.048170199999999996,0.08770291999999999,2005-2009
63,236,18002,17057,02066,0.01310965448283524,0.05249416731474277,0.9475058326852572,0.07751166,0.18825326000000003,2005-2009
64,957,17703,13409,02067,0.054058634129808505,0.24255775857199346,0.7574422414280065,0.075478075,0.1580257,2005-2009
65,3389,27833,22855,02072,0.1217619372687098,0.17885244134660294,0.8211475586533971,0.056161425,0.0656055,2005-2009
66,417,18855,17653,02081,0.02211614956245028,0.06374966852293817,0.9362503314770618,0.060530774999999995,0.1726512,2005-2009
67,78,14809,13621,02090,0.00526706732392464,0.08022148693362141,0.9197785130663786,0.0828025,0.4,2005-2009
68,609,12801,9786,02114,0.04757440824935552,0.23552847433794233,0.7644715256620577,0.058620124999999995,0.070414325,2005-2009
69,2455,29465,20634,02115,0.08331919226200576,0.2997115221449177,0.7002884778550823,0.06785413333333333,0.0421721,2005-2009
70,1618,22229,17071,02116,0.07278779972108507,0.23203922803544919,0.7679607719645508,0.0811605,0.078188125,2005-2009
71,5706,27534,14727,02118,0.2072346916539551,0.4651340161255175,0.5348659838744825,0.0383092,0.048484849999999996,2005-2009
72,16068,25734,4110,02119,0.6243879692235953,0.8402891116810445,0.15971088831895547,0.12937098,0.1292564,2005-2009
73,8936,25613,8657,02122,0.34888533166751257,0.6620075742786866,0.3379924257213134,0.120152375,0.1509771,2005-2009
74,33355,51544,11350,02124,0.6471170262300171,0.7797997827099177,0.22020021729008227,0.10859076000000001,0.12988692,2005-2009
75,9384,33937,11872,02125,0.27651236113975897,0.6501753248666646,0.3498246751333353,0.103349075,0.10589515,2005-2009
76,2188,34732,28071,02127,0.06299666014050444,0.19178279396521936,0.8082172060347806,0.03862134,0.0660501,2005-2009
77,12083,44512,27442,02128,0.27145488856937455,0.38349209202012935,0.6165079079798707,0.07201949999999999,0.07616474,2005-2009
78,2025,17954,13567,02129,0.11278823660465634,0.24434666369611224,0.7556533363038878,0.025717575,0.126892325,2005-2009
79,6067,38214,24571,02130,0.15876380384152405,0.3570157533888104,0.6429842466111896,0.03664442,0.04024358,2005-2009
